"Time per step","Total parameters","_defaultColorIndex","id","name"
"44.43","211717504","2","sexi2qr6","6 Layers"
"8.444","208177024","4","hz26yqvk","5 Layers"
"9.265","204636544","3","k3sugt5","4 Layers"
"8.259","201096064","3","xxxxxx","3 Layers"
"8.083","197555584","1","f1u5s6f3","2 Layers"
"8.178","194015104","1","xxxxxx","1 Layer"
"8.932","190474624","2","ljhf8xwc","No Layers"
