"Time per step","Trainable parameters","_defaultColorIndex","id","name"
"12.14","85794048","12","0ge10znj","R=128"
"11.87","67509504","10","oze629gb","R=64"
"12.19","58367232","8","mr044x3g","R=32"
"12.78","53796096","7","5ey3tbqp","R=16"
