"Time per step","Trainable parameters","_defaultColorIndex","id","name"
"8.673","85794048","5","up9pchyd","R=128"
"9.042","67509504","3","e7v80ft7","R=64"
"9.584","58367232","0","aleula9s","R=32"
"10.53","53796096","14","i0mb9ak8","R=16"
