"Time per step","Total parameters","_defaultColorIndex","id","name"
"12.37","237808000","9","ibogtuyz","R=128"
"11.97","219523456","8","n1034wy3","R=64"
"12.04","210381184","7","o8x58tpm","R=32"
"12.44","205810048","6","pxpewfgu","R=16"
