"Time per step","Total parameters","_defaultColorIndex","id","name"
"12.14","237665152","12","0ge10znj","R=128"
"11.87","219380608","10","oze629gb","R=64"
"12.19","210238336","8","mr044x3g","R=32"
"12.78","205667200","7","5ey3tbqp","R=16"
