"Time per step","Trainable parameters","_defaultColorIndex","id","name"
"8.864","85936896","9","ibogtuyz","R=128"
"9.104","67652352","8","n1034wy3","R=64"
"9.501","58510080","7","o8x58tpm","R=32"
"10.21","53938944","6","pxpewfgu","R=16"
