"Time per step","Trainable parameters","_defaultColorIndex","id","name"
"0.10277434783935548","85794048","12","0ge10znj","R=128"
"0.10307790449523925","67509504","10","oze629gb","R=64"
"0.101033107421875","58367232","8","mr044x3g","R=32"
"0.10096648191833496","53796096","7","5ey3tbqp","R=16"
