"Time per step","Total parameters","_defaultColorIndex","id","name"
"8.673","237665152","5","up9pchyd","R=128"
"9.042","219380608","3","e7v80ft7","R=64"
"9.584","210238336","0","aleula9s","R=32"
"10.53","205667200","14","i0mb9ak8","R=16"
