"Time per step","Trainable parameters","_defaultColorIndex","id","name"
"44.43","207517056","2","sexi2qr6","6 Layers"
"8.444","203976576","4","hz26yqvk","5 Layers"
"9.265","200436096","3","k3sugt5","4 Layers"
"8.259","196895616","3","xxxxxx","3 Layers"
"8.083","193355136","1","f1u5s6f3","2 Layers"
"8.178","189814656","1","xxxxxx","1 Layer"
"8.932","186274176","2","ljhf8xwc","No Layers"
